Name,Gender,House,Season,Total
Lord Leo Lefford,Male,,1,21
Lord Leo Lefford,Male,,2,0
Lord Leo Lefford,Male,,3,0
Lord Leo Lefford,Male,,4,0
Lord Leo Lefford,Male,,5,0
Lord Leo Lefford,Male,,6,0
Lord Leo Lefford,Male,,7,0
Lord Leo Lefford,Male,,8,0
Tyene Sand,Female,,1,0
Tyene Sand,Female,,2,0
Tyene Sand,Female,,3,0
Tyene Sand,Female,,4,0
Tyene Sand,Female,,5,186
Tyene Sand,Female,,6,0
Tyene Sand,Female,,7,31
Tyene Sand,Female,,8,0
Nymeria Sand,Female,,1,0
Nymeria Sand,Female,,2,0
Nymeria Sand,Female,,3,0
Nymeria Sand,Female,,4,0
Nymeria Sand,Female,,5,72
Nymeria Sand,Female,,6,29
Nymeria Sand,Female,,7,18
Nymeria Sand,Female,,8,0
Obara Sand,Female,,1,0
Obara Sand,Female,,2,0
Obara Sand,Female,,3,0
Obara Sand,Female,,4,0
Obara Sand,Female,,5,136
Obara Sand,Female,,6,33
Obara Sand,Female,,7,22
Obara Sand,Female,,8,0
Trystane Martell,Male,Martell,1,0
Trystane Martell,Male,Martell,2,0
Trystane Martell,Male,Martell,3,0
Trystane Martell,Male,Martell,4,0
Trystane Martell,Male,Martell,5,93
Trystane Martell,Male,Martell,6,15
Trystane Martell,Male,Martell,7,0
Trystane Martell,Male,Martell,8,0
Doran Martell,Male,Martell,1,0
Doran Martell,Male,Martell,2,0
Doran Martell,Male,Martell,3,0
Doran Martell,Male,Martell,4,0
Doran Martell,Male,Martell,5,438
Doran Martell,Male,Martell,6,84
Doran Martell,Male,Martell,7,0
Doran Martell,Male,Martell,8,0
Areo Hotah,Male,,1,0
Areo Hotah,Male,,2,0
Areo Hotah,Male,,3,0
Areo Hotah,Male,,4,0
Areo Hotah,Male,,5,47
Areo Hotah,Male,,6,0
Areo Hotah,Male,,7,0
Areo Hotah,Male,,8,0
Oberyn Martell,Female,Martell,1,0
Oberyn Martell,Female,Martell,2,0
Oberyn Martell,Female,Martell,3,0
Oberyn Martell,Female,Martell,4,1909
Oberyn Martell,Female,Martell,5,0
Oberyn Martell,Female,Martell,6,0
Oberyn Martell,Female,Martell,7,0
Oberyn Martell,Female,Martell,8,0
Robett Glover,Male,,1,0
Robett Glover,Male,,2,0
Robett Glover,Male,,3,0
Robett Glover,Male,,4,0
Robett Glover,Male,,5,0
Robett Glover,Male,,6,265
Robett Glover,Male,,7,71
Robett Glover,Male,,8,0
Meera Reed,Female,,1,0
Meera Reed,Female,,2,0
Meera Reed,Female,,3,250
Meera Reed,Female,,4,170
Meera Reed,Female,,5,0
Meera Reed,Female,,6,210
Meera Reed,Female,,7,83
Meera Reed,Female,,8,0
Lyanna Mormont,Female,Mormont,1,0
Lyanna Mormont,Female,Mormont,2,0
Lyanna Mormont,Female,Mormont,3,0
Lyanna Mormont,Female,Mormont,4,0
Lyanna Mormont,Female,Mormont,5,0
Lyanna Mormont,Female,Mormont,6,358
Lyanna Mormont,Female,Mormont,7,100
Lyanna Mormont,Female,Mormont,8,84
Maester Wolkan,Male,,1,0
Maester Wolkan,Male,,2,0
Maester Wolkan,Male,,3,0
Maester Wolkan,Male,,4,0
Maester Wolkan,Male,,5,0
Maester Wolkan,Male,,6,47
Maester Wolkan,Male,,7,58
Maester Wolkan,Male,,8,31
Lyanna Stark,Female,Stark,1,0
Lyanna Stark,Female,Stark,2,0
Lyanna Stark,Female,Stark,3,0
Lyanna Stark,Female,Stark,4,0
Lyanna Stark,Female,Stark,5,0
Lyanna Stark,Female,Stark,6,0
Lyanna Stark,Female,Stark,7,0
Lyanna Stark,Female,Stark,8,0
Rickon Stark,Male,Stark,1,34
Rickon Stark,Male,Stark,2,29
Rickon Stark,Male,Stark,3,72
Rickon Stark,Male,Stark,4,0
Rickon Stark,Male,Stark,5,0
Rickon Stark,Male,Stark,6,0
Rickon Stark,Male,Stark,7,0
Rickon Stark,Male,Stark,8,0
Hodor,Male,,1,1
Hodor,Male,,2,3
Hodor,Male,,3,14
Hodor,Male,,4,32
